Hypothesis,Category,Origin,Substrate,Information added,Compute added,Prior added,Exact side information,Task,Repo evidence,Scale,Primary result,Failure point,Safety outcome,Cost outcome,Verdict,Architectural role,Prior art,Reopen condition
Dependency-locked TorchHD/MAP bootstrap for reproducible local experiments,INFRASTRUCTURE_BASELINE,Repository bootstrap,TorchHD MAP,none,installation and smoke checks only,none,none,Environment install and smoke validation,ADOPTED_ENGINEERING_BASELINE,Repository-wide installation baseline,Core repo remains installable without bespoke runtime primitives.,Public release still requires explicit licensing and path hygiene.,Pinned dependencies and smoke tests reduce silent environment drift.,Small ongoing maintenance cost; no algorithmic novelty claimed.,ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,TorchHD; PyTorch packaging; pytest smoke discipline,"Reopen only to adjust dependency pins, Python support, or smoke coverage."
External semantic context can improve candidate routing over random subsets in bounded Level 1 single-product recovery,CONTEXT_CONDITIONED_SEARCH,"Original CGRN-HSR hypothesis, narrowed by Level 1 closures",MAP primary; BCF selector transfer audit,external semantic context,candidate routing and fallback control,schema- and context-conditioned subset selection,none,Blind clean single-product factorization with typed factor domains,REPRODUCED_IN_REPO,Multiple Level 1 development and held-out slices,Semantic context beat random candidate selection in tested single-product regimes; cold fallback survived while warm continuation failed.,"Warm continuation, cheap probes, and over-broad hierarchical runtime claims did not survive audit.",Selective acceptance reduced silent false commitments in the tested envelope.,"Recoverability gain was paid through external context, routing policy, and fallback compute.",ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,algorithm selection; context-gated retrieval; selective prediction,Reopen only for new typed controller experiments or new public BCF confirmations under fresh seeds.
HoloVec attention resonator is not a fair drop-in competitor under the repository's factor-specific domain contract,COMPETITOR_AUDIT,Level 1F competitor audit,HoloVec attention resonator,none,dependency and API audit only,none,none,Factorization with factor-specific domains,BLOCKED_WITH_EVIDENCE,API and dependency audit,HoloVec exposes one shared flat codebook and no lawful per-factor domain interface for the benchmark contract.,Task mismatch blocked a fair shootout.,Avoided benchmark contamination by refusing a mismatched wrapper.,Wrapping without contract parity would have produced a misleading comparison.,BLOCKED_WITH_EVIDENCE,BLOCKED_WITH_EVIDENCE,HoloVec; attention-based cleanup,Reopen only if an upstream factor-specific domain API appears.
Official IBM BCF can participate in scoped selector-level comparisons but not yet in full parity claims,SUBSTRATE_COMPARISON,Level 1F / Level 3.1 BCF audit line,IBM BCF,none,native substrate-specific iteration schedule,none,none,Blind clean single-product factorization,IMPLEMENTATION_AUDITED,Selector transfer plus small native-envelope reproduction,"BCF was reproducible as an audited native envelope, but parity claims remain scoped and expensive.",Structured-mixture parity and broad runtime substitution remain unresolved.,Contract wrapping stayed faithful to upstream entrypoints and did not rewrite BCF internals.,Native BCF benchmarking was substantially more expensive than MAP in repeated subset trials.,IMPLEMENTATION_AUDITED,IMPLEMENTATION_AUDITED,block-code factorization; official upstream implementation audits,Reopen only for fresh public held-out confirmation or new structured-mixture parity protocols.
"Approximate semantic retrieval can help temporal replay only as a narrow fallback, while exact indexed location remains stronger",TEMPORAL_RETRIEVAL,Level 2A temporal memory seam,MAP,semantic context over entity memory,fallback passes and abstention,location-relevant context,Exact indexed retrieval baseline present,Temporal retrieval and replay selection,PARTIALLY_REPRODUCED,Development plus held-out temporal-memory trials,"Semantic retrieval was directionally useful, but exact indexed location remained stronger and the verdict stayed narrow.",Semantic retrieval did not justify replacing exact indexed location.,Abstention and fallback reduced unsafe guesses.,Benefit was modest and subordinate to exact lookup.,PARTIALLY_REPRODUCED,PARTIALLY_REPRODUCED,temporal retrieval; approximate associative memory; abstention,Reopen only for exact-vs-approximate crossover studies with clear utility accounting.
"Portable external context control across heterogeneous native mechanisms remains a narrow open hypothesis, not a custom ER architecture",META_CONTROL,Level 2B prior-art closure,Mechanism-agnostic controller seam,external context and typed authority state,controller overhead only,algorithm selection and rational metareasoning,Native mechanism outputs only,Typed adapter and authority-controller design only,DEFERRED_HYPOTHESIS,Documentation and audit closure,Broad custom entity-resolution research was blocked; only a thin controller seam remained as a deferred hypothesis.,Most of the apparent novelty was already covered by portfolio methods and metareasoning.,Typed non-commit remained the only live safety-oriented seam.,Any future controller must count its own overhead and justify itself against adopted baselines.,DEFERRED_HYPOTHESIS,DEFERRED_HYPOTHESIS,Rice algorithm selection; SATzilla; rational metareasoning; anytime algorithms,Reopen only as a thin controller experiment over unchanged native mechanisms.
Context policy can be tested as a narrow overlay on an existing matcher without inventing a new matcher,CONTEXT_CONDITIONED_SEARCH,Level 2C existing-matcher policy seam,Existing probabilistic matcher (Splink),external context policy,fallback broad-pass when context is narrow,blocking priors,none,Candidate blocking and matching over fixed matcher internals,PARTIALLY_REPRODUCED,Frozen development and held-out matcher policy evaluation,The policy remained narrow and explicitly forbade claims of a universal context controller or new matcher.,The seam is not evidence for CNM or a new probabilistic matcher.,Safe fallback was necessary to avoid catastrophic exclusions.,Blocking and matching remain coupled inside the adopted matcher API.,PARTIALLY_REPRODUCED,PARTIALLY_REPRODUCED,blocking policies; existing matcher overlays; fallback routing,Reopen only for larger external-matcher comparisons under equal-information contracts.
"MAP resonator recoverability has a bounded intermediate region shaped by budget, restart policy, and abstention",MAP_RESONATOR_BASELINE,Level 3.2 and 3.2b MAP baseline line,MAP resonator,none,longer/restarted resonator budgets,none,none,Blind clean single-product factorization,REPRODUCED_IN_REPO,Held-out clean confirmation plus development robustness sweep,MAP retained a bounded intermediate region rather than an unlimited clean-factorization regime.,More compute alone did not remove the transition-region constraints.,Selective abstention and explicit budget accounting stayed necessary.,Recoverability improvements required additional decoder compute and still saturated.,ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,resonator networks; iterative factorization; selective abstention,Reopen only for equal-information comparisons against alternative substrates or exact side information.
The NeCo linear-code paper contract can be reproduced for clean U1 under explicit GF(2) constraints,PAPER_REPRODUCTION,Level 3.3 reproduction,Linear codes / NeCo,structured linear-code substrate,GF(2) linear algebra,subcode structure,none,Clean U1 blind single-product factorization,PAPER_REPRODUCTION,Clean U1 reproduction only,The paper contract was reproduced under explicit common-U1 constraints.,"No noise, no broader substrate claim, and no promotion beyond the paper contract.",The reproduction kept decoder truth hidden until verification.,Benefit depends on adopting structured code families rather than generic random bundles.,REPRODUCED_IN_REPO,REPRODUCED_IN_REPO,linear-code HDC; GF(2) algebra; paper reproduction discipline,Reopen only for noise-frontier or equal-information comparisons against symbolic and MAP baselines.
Clean U1 algebraic baselines match each other while the packed symbolic exact baseline dominates the task envelope,SUBSTRATE_COMPARISON,Level 3.4 closure,"NeCo, generic linear, symbolic exact record",structured code or exact tuple encoding,structured decoding or exact lookup,algebraic structure,symbolic exact tuple baseline present,Clean U1 only,REPRODUCED_IN_REPO,Development algebraic closure,"NeCo and generic linear baselines were equivalent on clean U1, while the symbolic exact baseline dominated the task.",This did not settle noisy behavior and therefore did not authorize broad substrate claims.,The symbolic exact baseline highlighted when exact side information simply removes factorization ambiguity.,Recoverability can be bought directly with exact typed structure on clean U1.,ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,linear codes; symbolic exact baselines,Reopen only in explicit noise-frontier or storage-cost comparisons.
Noise must be split into explicit external corruption contracts and substrate-native error semantics before any comparison claim,NOISE_AND_PROTOCOL,Level 3.5a audit,Repository-wide protocol discipline,typed noise metadata,audit only,none,none,Noise contract separation and audit,ADOPTED_ENGINEERING_BASELINE,Repository-wide noise audit,Universal raw-p noise claims were blocked; lawful comparison requires typed substrate-specific contracts.,Cross-substrate noise scales are not interchangeable without explicit calibration.,The audit prevents silent protocol leakage and incomparable frontier claims.,Protocol discipline adds documentation cost but prevents invalid scientific aggregation.,ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,evaluation protocol discipline; soft-information auditing,Reopen only for new substrate-specific contracts or calibrated severity mappings.
Held-out confirmatory execution requires prospectively frozen executable gate semantics before the first held-out observation,NOISE_AND_PROTOCOL,Level 3.5b protocol repair and prospective gate specification,Repository-wide confirmatory protocol discipline,fully serialized gate semantics,validator and synthetic dry-run cost,development-only calibration rationale,none,Level 3.5b held-out gate freezing and validation,ADOPTED_ENGINEERING_BASELINE,Protocol and validator stage only,The repo now contains an explicit rule: no confirmatory gate may be executed without prospectively frozen executable semantics.,Earlier protocols blocked exactly because those semantics were missing or inconsistent.,Zero-trial integrity blocks preserved lawful non-execution instead of inventing thresholds.,"More protocol overhead, but drastically lower leakage risk.",ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,prospective protocol design; confirmatory gate serialization,Reopen only for a new confirmatory protocol version before any corresponding held-out run.
Runner-side integrity blocks are positive evidence for lawful non-execution when confirmatory contracts are incomplete,NOISE_AND_PROTOCOL,Level 3.5b held-out v1/v2/v3 integrity failures,Held-out execution policy,none,none,none,none,Refuse execution under protocol-integrity failure,BLOCKED_WITH_EVIDENCE,Zero-trial block evidence,Three blocked attempts preserved zero-trial integrity instead of generating invalid outcomes.,The line could not become substantive evidence without a lawful protocol.,No held-out leakage occurred before protocol completion.,Temporal delay but scientific validity preserved.,BLOCKED_WITH_EVIDENCE,BLOCKED_WITH_EVIDENCE,fail-closed evaluation discipline,Reopen only under a new lawful protocol version before any corresponding held-out execution.
Noisy MAP semantic cues contain useful locality for retrieving a nearby creation-trace neighborhood,SEMANTIC_TO_TRACE_ROUTING,Lazy Semantic-to-Trace Addressing Stage A / A.1,MAP semantics plus exact trace sidecar,approximate semantic routing signal,LSH probing and reranking,semantic locality only,trace sidecar for verification,Semantic cue -> local trace candidate set,PARTIALLY_REPRODUCED,Development-only semantic routing benchmark,Stage A was partial rather than falsifying semantic locality; analytically chosen Stage A.1 configurations reached high exact-trace candidate recall under bounded candidates.,"Acceptance coverage and latency still lagged stronger baselines, and semantic-only routing could not resolve exact ambiguity.",Wrong-trace acceptance stayed at zero under typed verification.,"Useful locality exists, but it costs routing structures, candidate reranking, and abstention.",PARTIALLY_REPRODUCED,PARTIALLY_REPRODUCED,random-hyperplane LSH; semantic reranking; typed sidecar validation,Reopen only for mature-index or carried-fingerprint comparisons under equal-information contracts.
"At N=10k, mature exact packed search dominates the custom thin semantic router on the practical frontier",SEMANTIC_TO_TRACE_ROUTING,Lazy Semantic-to-Trace Addressing Stage A.2a,MAP semantics plus exact trace sidecar,mature index structures,index search plus canonical reranking,none beyond the index,trace sidecar and exact reranker,Noisy semantic cue -> bounded candidate ids -> exact reranking -> typed trace validation,REPRODUCED_IN_REPO,Primary development cell N10000 / D1024 / 512 queries,Exact packed binary scan beat the tested approximate methods on the primary practical frontier at N=10k.,The thin custom LSH did not remain nondominated once mature baselines were included.,Ambiguity-safe verification preserved zero silent wrong exact-trace acceptance.,"At the tested scale, exact search was simpler and faster than approximate routing.",ADOPTED_ENGINEERING_BASELINE,ADOPTED_ENGINEERING_BASELINE,Faiss exact search; Faiss HNSW; binary multi-hash,"Reopen only for scale crossover, SDM comparison, or carried-fingerprint protocols."
