query_id,search_date,source,query_family,query_string,records_inspected,notes
Q1,2026-06-19,web+arXiv,recovery_and_factorization,"vector symbolic architecture factorization resonator network paper",6,"Used to anchor resonator and factorization papers."
Q2,2026-06-19,web+IBM Research,structured_recovery,"hyperdimensional computing block code factorizer IBM paper",5,"Resolved official IBM BCF paper and official repository."
Q3,2026-06-19,web+arXiv,precision_and_soft_information,"quantized hyperdimensional computing multi-bit paper",5,"Used for multi-bit and in-memory precision papers."
Q4,2026-06-19,web+ACM+PDF,hardware,"FPGA hyperdimensional computing paper",5,"Used for FPGA acceleration and hardware trade-off papers."
Q5,2026-06-19,web+JAIR,safety_and_allocation,"algorithm portfolio per-instance solver selection SATzilla paper",5,"Used for portfolio semantics and routing prior art."
Q6,2026-06-19,web+JMLR,safety_and_allocation,"reject option selective prediction survey primary paper",4,"Used for abstention and reject-option background."
Q7,2026-06-19,web+arXiv+IBM,foundations,"A Survey on Hyperdimensional Computing vector symbolic architectures",6,"Used for field-wide taxonomy and implementation/hardware framing."
Q8,2026-06-19,web+primary PDFs,structured_recovery,"Factorizers for Distributed Sparse Block Codes paper",4,"Used for SBC/GSBC factorization family coverage."
Q9,2026-06-19,web+arXiv,resonator_hierarchy,"hierarchical resonator networks vector symbolic architecture",6,"Targeted closure for hierarchical and compositional resonator literature."
Q10,2026-06-19,web+arXiv+primary PDFs,subspace_partitioning,"orthogonal subspace semantic pointers role-specific subspaces vector symbolic architecture",6,"Targeted closure for orthogonal subspaces and representation partitioning."
Q11,2026-06-19,web+official docs,neuromorphic_recovery,"Loihi Lava semantic pointers spiking resonator vector symbolic architecture",7,"Targeted closure for Loihi/Lava and spiking VSA recovery work."
Q12,2026-06-19,web+IEEE+arXiv,structured_codes,"error-correcting codes hyperdimensional computing BCH coded hypervectors",7,"Targeted closure for BCH/ECC and structured coding transfer."
Q13,2026-06-19,web+Nengo+Intel,official_implementations,"Lava documentation NengoLoihi semantic pointers official implementation",5,"Used to resolve official implementation status for spiking/neuromorphic sources."
Q14,2026-06-19,web+Google Scholar,screening_followup,"visual odometry with neuromorphic resonator networks hyperdimensional computing with spiking-phasor neurons",4,"Follow-up query to confirm titles, official status, and transfer limits for targeted additions."
