schema_version,method_id,config_id,corruption_probability,candidate_budget,ambiguous_wrong_acceptance_rate
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.0,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.01,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.03,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.05,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.1,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B0_vectorized_exact_scan,B0_vectorized_exact_scan,0.15,10000,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,32,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B1_faiss_exact_float_scan,faiss_exact_float_ip,0.15,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,32,0.001953125
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,64,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.05,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.1,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B2_current_a1p_thin_random_hyperplane_lsh,a1p_frozen_lsh,0.15,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.0,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.01,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.03,100,0
lazy-semantic-trace-stage-a2a-dev-v1,B3_float_hnsw,float_hnsw_ef256,0.05,32,0
