schema_version,substrate,scenario,verdict,generator_changed,existing_observations_unchanged,notes
level3-4-clean-u1-algebraic-baseline-dev-v1,PACKED,atomic_insertion_within_existing_capacity,INSERT_REQUIRES_MAPPING_ONLY,False,True,"If unused messages remain inside the current ceil(log2 M) envelope, insertion only consumes a previously unassigned message."
level3-4-clean-u1-algebraic-baseline-dev-v1,GENERIC_LINEAR,atomic_insertion_within_existing_capacity,INSERT_REQUIRES_MAPPING_ONLY,False,True,Insertion only changes the semantic-to-message mapping while spare messages remain.
level3-4-clean-u1-algebraic-baseline-dev-v1,NECO,atomic_insertion_within_existing_capacity,INSERT_REQUIRES_MAPPING_ONLY,False,True,Insertion uses an unused factor-local message if the current subcode dimension still has spare capacity.
level3-4-clean-u1-algebraic-baseline-dev-v1,PACKED,domain_expansion_m31_to_m68,DOMAIN_EXPANSION_REQUIRES_REBUILD,False,False,"Bit width rises from 5 to 7, forcing message re-slicing and re-encoding."
level3-4-clean-u1-algebraic-baseline-dev-v1,GENERIC_LINEAR,domain_expansion_m31_to_m68,DOMAIN_EXPANSION_REQUIRES_REBUILD,True,False,"The packed payload width increases, so the full-column-rank matrix must be rebuilt and all observations re-encoded."
level3-4-clean-u1-algebraic-baseline-dev-v1,NECO,domain_expansion_m31_to_m68,DOMAIN_EXPANSION_REQUIRES_REBUILD,True,False,"The factor subcode dimension rises from 5 to 7, so generator rows, subcode decomposition, and old observations must be rebuilt."
level3-4-clean-u1-algebraic-baseline-dev-v1,PACKED,schema_expansion_f3_to_f4,SCHEMA_EXPANSION_REQUIRES_REBUILD,False,False,"Concatenation layout changes, so old observations are not compatible with the new factor schema."
level3-4-clean-u1-algebraic-baseline-dev-v1,GENERIC_LINEAR,schema_expansion_f3_to_f4,SCHEMA_EXPANSION_REQUIRES_REBUILD,True,False,"The payload width and column partitioning change, so a new matrix and re-encoding are required."
level3-4-clean-u1-algebraic-baseline-dev-v1,NECO,schema_expansion_f3_to_f4,SCHEMA_EXPANSION_REQUIRES_REBUILD,True,False,"A new factor subcode must be allocated, changing the direct-sum schema and invalidating old observations."
level3-4-clean-u1-algebraic-baseline-dev-v1,MAP,schema_expansion_f3_to_f4,UNSUPPORTED,,,The frozen random-domain benchmark does not define stable schema migration semantics.
level3-4-clean-u1-algebraic-baseline-dev-v1,BCF,schema_expansion_f3_to_f4,UNSUPPORTED,,,The frozen official BCF configuration is F=3-specific and does not define a compatible in-place schema expansion path.
